N,kappa,alpha,success_rate,n_gaps,mean_gap,alpha_star
801,0.00,0.31,1.00,,0.7617,0.7330167
801,0.00,0.34,1.00,,0.7325,0.7330167
801,0.00,0.37,0.83,,0.7426,0.7330167
801,0.00,0.40,0.67,,0.7274,0.7330167
801,0.00,0.43,0.33,,0.7166,0.7330167
801,0.00,0.46,0.00,,,0.7330167
801,0.00,0.49,0.00,,,0.7330167
801,0.00,0.52,0.00,,,0.7330167
801,0.00,0.56,0.00,,,0.7330167
801,0.10,0.31,1.00,,0.6985,0.7330167
801,0.10,0.34,0.83,,0.6976,0.7330167
801,0.10,0.37,0.50,,0.689,0.7330167
801,0.10,0.40,0.00,,,0.7330167
801,0.10,0.43,0.17,,0.6787,0.7330167
801,0.10,0.46,0.00,,,0.7330167
801,0.10,0.49,0.00,,,0.7330167
801,0.10,0.52,0.00,,,0.7330167
801,0.10,0.56,0.00,,,0.7330167
