kappa_lo,kappa_hi,alpha_lo,alpha_hi,q_lo,q_hi,psi_lo,psi_hi,n_alpha_rows,n_box_slabs
-0.65,-0.622,2.023882752,2.118115262,0.438384,0.453862,1.278112,1.380297,56,56
-0.622,-0.594,1.937307991,2.026883752,0.444225,0.459633,1.319679,1.424633,56,56
-0.594,-0.566,1.855121109,1.940308991,0.450003,0.465347,1.362154,1.470000,56,56
-0.566,-0.538,1.777070395,1.858122109,0.455720,0.471003,1.405552,1.516419,56,56
-0.538,-0.51,1.702920100,1.780071395,0.461375,0.476602,1.449889,1.563911,56,56
-0.51,-0.482,1.632449338,1.705921100,0.466970,0.482143,1.495183,1.612497,56,56
-0.482,-0.454,1.565451064,1.635450338,0.472504,0.487628,1.541449,1.662200,56,56
-0.454,-0.426,1.501731126,1.568452064,0.477979,0.493057,1.588705,1.713042,56,56
-0.426,-0.398,1.441107392,1.504732126,0.483394,0.498430,1.636968,1.765047,56,56
-0.398,-0.37,1.383408939,1.444108392,0.488750,0.503748,1.686258,1.818240,56,56
-0.37,-0.342,1.328475297,1.386409939,0.494049,0.509011,1.736592,1.872645,56,56
-0.342,-0.314,1.276155755,1.331476297,0.499289,0.514219,1.787990,1.928286,56,56
-0.314,-0.286,1.226308711,1.279156755,0.504473,0.519373,1.840472,1.985190,56,56
-0.286,-0.258,1.178801072,1.229309711,0.509600,0.524473,1.894057,2.043385,56,56
-0.258,-0.23,1.133507694,1.181802072,0.514672,0.529520,1.948765,2.102896,56,56
-0.23,-0.202,1.090310867,1.136508694,0.519688,0.534514,2.004619,2.163752,56,56
-0.202,-0.174,1.049099829,1.093311867,0.524649,0.539457,2.061638,2.225982,56,56
-0.174,-0.146,1.009770319,1.052100829,0.529556,0.543652,2.119846,2.280437,56,56
-0.146,-0.118,0.972224160,1.012771319,0.535874,0.547696,2.193375,2.339005,56,56
-0.118,-0.09,0.936368870,0.975225160,0.540694,0.552465,2.254706,2.404758,56,56
-0.09,-0.062,0.902117304,0.939369870,0.545463,0.557182,2.317333,2.471961,56,56
-0.062,-0.034,0.869387313,0.905118304,0.550180,0.561850,2.381282,2.540644,56,56
-0.034,-0.006,0.838101432,0.872388313,0.554848,0.566467,2.446579,2.610839,56,56
-0.006,0.022,0.808186588,0.841102432,0.559465,0.571035,2.513250,2.682578,56,56
0.022,0.036,0.793721603,0.811187588,0.564033,0.573301,2.581323,2.719036,28,28
0.036,0.05,0.779573828,0.796722603,0.566299,0.575555,2.615894,2.755893,28,28
0.05,0.064,0.765735245,0.782574828,0.568553,0.577796,2.650825,2.793152,28,28
0.064,0.078,0.752198064,0.768736245,0.570794,0.580026,2.686121,2.830817,28,28
0.078,0.092,0.738954713,0.755199064,0.573024,0.582243,2.721784,2.868893,28,28
0.092,0.12,0.713320277,0.741955713,0.575241,0.583505,2.757819,2.890837,56,56
0.12,0.134,0.700915086,0.716321277,inf,-inf,inf,-inf,28,28
0.134,0.148,0.688775506,0.703916086,inf,-inf,inf,-inf,28,28
0.148,0.162,0.676894963,0.691776506,inf,-inf,inf,-inf,28,28
0.162,0.176,0.665267071,0.679895963,inf,-inf,inf,-inf,28,28
0.176,0.19,0.653885617,0.668268071,inf,-inf,inf,-inf,28,28
